16367696000000 -nan -nan -nan 0.000995412 -0.000254511 -0.032612171 0.999467554
16367730000000 -nan -nan -nan -nan -nan -nan -nan
16367765000000 -nan -nan -nan -nan -nan -nan -nan
16367798000000 -nan -nan -nan -nan -nan -nan -nan
16367831000000 -nan -nan -nan -nan -nan -nan -nan
16367865000000 -nan -nan -nan -nan -nan -nan -nan
16367897000000 -nan -nan -nan -nan -nan -nan -nan
16367929000000 -nan -nan -nan -nan -nan -nan -nan
16367966000000 -nan -nan -nan -nan -nan -nan -nan
16367999000000 -nan -nan -nan -nan -nan -nan -nan
16368029000000 nan nan nan nan nan nan nan
16368062000000 nan nan nan nan nan nan nan
16368097000000 nan nan nan nan nan nan nan
16368128000000 -nan -nan -nan -nan -nan -nan -nan
16368159000000 -nan -nan -nan -nan -nan -nan -nan
16368192000000 -nan -nan -nan -nan -nan -nan -nan
16368225000000 -nan -nan -nan -nan -nan -nan -nan
16368266000000 -nan -nan -nan -nan -nan -nan -nan
16368299000000 -nan -nan -nan -nan -nan -nan -nan
16368331000000 -nan -nan -nan -nan -nan -nan -nan
16368363000000 -nan -nan -nan -nan -nan -nan -nan
16368395000000 -nan -nan -nan -nan -nan -nan -nan
16368427000000 -nan -nan -nan -nan -nan -nan -nan
16368460000000 -nan -nan -nan -nan -nan -nan -nan
16368492000000 -nan -nan -nan -nan -nan -nan -nan
16368524000000 -nan -nan -nan -nan -nan -nan -nan
16368556000000 -nan -nan -nan -nan -nan -nan -nan
16368586000000 -nan -nan -nan -nan -nan -nan -nan
16368613000000 -nan -nan -nan -nan -nan -nan -nan
